"13gc -- Kiinnioton, pidätyksen, vangitsemisen ja ulkomaalaisen säilöönoton kesto poliisilaitoksittain, 2004-2022"

"Vuosi","Pakkokeino","Viranomainen","Päärikos tai muu asia","Kesto alle 1 vrk","Kesto 1-1,9 vrk","Kesto 2-2,9 vrk","Kesto 3-3,9 vrk","Kesto 4-4,9 vrk","Kesto 5-5,9 vrk","Kesto 6-6,9 vrk","Kesto 1-1,9 viikkoa","Kesto 2-2,9 viikkoa","Kesto 3 viikkoa","Kesto 1-1,9 kk","Kesto 2-2,9 kk","Kesto 3 kk ja yli","Kesto ei tietoa","Kiinniotto vrk:t","Pidätys vrk:t","Vankeus vrk:t","Ulkomaalaisen säilössäpito vrk:t"
"2021","YHTEENSÄ","Viranomaiset yhteensä","Rikokset, rikkomukset ja viranomaisten tehtävät yhteensä",21155,3670,2122,1206,475,205,332,465,173,67,113,32,35,136,36602,14120,8169,7896
"2021","YHTEENSÄ","Viranomaiset yhteensä","RIKOKSET JA RIKKOMUKSET YHTEENSÄ",20083,3093,1699,836,227,161,293,280,98,18,6,2,10,103,23567,14020,8144,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","1 RIKOSLAKIRIKOKSET",20082,3093,1699,836,227,161,293,280,98,18,6,2,10,103,23567,14019,8144,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","11 Omaisuusrikokset",6531,1276,689,330,89,73,113,90,37,0,0,0,1,17,7717,5276,2389,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","11011 Varkaus 28:1",3457,382,156,29,7,5,7,11,3,0,0,0,0,0,2681,1291,197,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","11012 Törkeä varkaus 28:2",405,184,132,69,18,9,22,15,5,0,0,0,0,9,995,806,470,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","11013 Näpistys 28:3",25,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","1102 Kätkemisrikos, tuottamuksellinen kätkemisrikos,kätkemisrikkomus, rahanpesu 32:1,4,5,6,9,10",94,22,9,8,1,1,5,0,0,0,0,0,0,0,119,84,51,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","1103 Törkeä kätkemisrikos, törkeä rahanpesu 32:2,7,8",29,13,11,9,5,0,3,2,4,0,0,0,0,0,143,65,66,0
"2021","YHTEENSÄ","Viranomaiset yhteensä","1104 Ammattimainen kätkemisrikos 32:3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
